success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,participant,technical_issues,response,stimulus,timeout,failed_images,failed_audio,failed_video,trial_phase,is_repeat,test_type,correct,old_image,new_image,correct_position,file_name
NA,null,image-keyboard-response,29,2.0.0,64534,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Egrapes1.jpg,NA,NA,NA,NA,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,30,2.0.0,65537,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,31,2.0.0,68541,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n09apenguin.jpg,NA,NA,NA,NA,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,32,2.0.0,69544,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,33,2.0.0,72548,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sabacus2.jpg,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,34,2.0.0,73551,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,35,2.0.0,76554,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sgiftbag2.jpg,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,36,2.0.0,77558,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,37,2.0.0,80561,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Ebicycle2.jpg,NA,NA,NA,NA,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,38,2.0.0,81563,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,39,2.0.0,84567,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n11abatteries.jpg,NA,NA,NA,NA,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,40,2.0.0,85570,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,41,2.0.0,88574,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Ebread1.jpg,NA,NA,NA,NA,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,42,2.0.0,89577,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,43,2.0.0,92580,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Echocolatebar1.jpg,NA,NA,NA,NA,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,44,2.0.0,93583,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,45,2.0.0,96588,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n10bturkey.jpg,NA,NA,NA,NA,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,46,2.0.0,97591,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,47,2.0.0,100595,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sbooks2.JPG,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,48,2.0.0,101598,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,49,2.0.0,104602,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sscissors1.JPG,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,50,2.0.0,105604,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,51,2.0.0,108607,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sphone2.JPG,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,52,2.0.0,109610,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,53,2.0.0,112614,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sbelt2.jpg,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,54,2.0.0,113617,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,55,2.0.0,116621,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Shairbrush1.jpg,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,56,2.0.0,117623,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,57,2.0.0,120627,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sdishes1.JPG,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,58,2.0.0,121630,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,59,2.0.0,124634,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Efan2.jpg,NA,NA,NA,NA,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,60,2.0.0,125636,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,61,2.0.0,128640,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sjuiceglass2.JPG,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,62,2.0.0,129643,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
