rt,trial_type,trial_index,trial_number,time_elapsed,random_id,participant_id,technical_issues,response,stimulus,trial_phase,is_repeat,test_type,correct,old_image,new_image,correct_position,file_name,age,gender,memory_experiment_experience,task_guess,technical_issues_question,participant_is_group_member
NA,image-keyboard-response,75,36,156687,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Scrayons2.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,77,37,160692,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sdryer2.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,79,38,164698,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n05abarrel.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,81,39,168704,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Egoggles2.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,83,40,172710,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n14acigarette.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,85,41,176717,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n03acamel.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,87,42,180723,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Spotpan1.JPG,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,89,43,184731,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n01bcoin.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,91,44,188738,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Ecalculator2.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,93,45,192745,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n12atelescope.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,95,46,196752,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n19apickle.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,97,47,200758,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Ecabinet1.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,99,48,204765,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sfiretrucktoy2.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
